Department,Course Number,Course Name,Request Type,Grade,StudentNumber
Industrial Technology,3782,PLTW Intro Engineer Design,R,9,2260711
Industrial Technology,3782,PLTW Intro Engineer Design,R,9,2260712
Industrial Technology,3782,PLTW Intro Engineer Design,R,12,2230808
Industrial Technology,3782,PLTW Intro Engineer Design,R,9,2260735
Industrial Technology,3782,PLTW Intro Engineer Design,R,9,2260740
Industrial Technology,3782,PLTW Intro Engineer Design,R,9,2260878
Industrial Technology,3782,PLTW Intro Engineer Design,R,9,2260783
Industrial Technology,3811,Electronics & Robotics 1,R,12,2230031
Industrial Technology,3811,Electronics & Robotics 1,R,10,2250027
Industrial Technology,3811,Electronics & Robotics 1,R,10,2250056
Industrial Technology,3811,Electronics & Robotics 1,R,10,2250119
Industrial Technology,3811,Electronics & Robotics 1,R,10,2250136
Industrial Technology,3811,Electronics & Robotics 1,R,11,2240172
Industrial Technology,3811,Electronics & Robotics 1,R,10,2250183
Industrial Technology,3811,Electronics & Robotics 1,R,10,2250189
Industrial Technology,3811,Electronics & Robotics 1,E,10,4250206
Industrial Technology,3811,Electronics & Robotics 1,R,12,2230227
Industrial Technology,3811,Electronics & Robotics 1,R,10,2250255
Industrial Technology,3811,Electronics & Robotics 1,R,11,2241087
Industrial Technology,3811,Electronics & Robotics 1,R,10,2250263
Industrial Technology,3811,Electronics & Robotics 1,R,11,2240283
Industrial Technology,3811,Electronics & Robotics 1,R,11,4240136
Industrial Technology,3811,Electronics & Robotics 1,R,11,2240293
Industrial Technology,3811,Electronics & Robotics 1,R,11,2240321
Industrial Technology,3811,Electronics & Robotics 1,R,11,2240380
Industrial Technology,3811,Electronics & Robotics 1,R,10,4250436
Industrial Technology,3811,Electronics & Robotics 1,R,12,2230538
Industrial Technology,3811,Electronics & Robotics 1,R,12,2230546
Industrial Technology,3811,Electronics & Robotics 1,R,11,2240549
Industrial Technology,3811,Electronics & Robotics 1,R,11,2240561
Industrial Technology,3811,Electronics & Robotics 1,R,11,2240959
Industrial Technology,3811,Electronics & Robotics 1,R,12,2230917
Industrial Technology,3811,Electronics & Robotics 1,R,11,2240924
Industrial Technology,3811,Electronics & Robotics 1,R,10,2250594
Industrial Technology,3811,Electronics & Robotics 1,R,12,2231024
Industrial Technology,3811,Electronics & Robotics 1,R,10,2250644
Industrial Technology,3811,Electronics & Robotics 1,R,11,2240684
Industrial Technology,3811,Electronics & Robotics 1,R,11,2240686
Industrial Technology,3811,Electronics & Robotics 1,R,12,2230688
Industrial Technology,3811,Electronics & Robotics 1,R,10,2250704
Industrial Technology,3811,Electronics & Robotics 1,R,10,2250746
Industrial Technology,3811,Electronics & Robotics 1,R,11,2240768
Industrial Technology,3811,Electronics & Robotics 1,R,11,2240789
Industrial Technology,3811,Electronics & Robotics 1,R,10,2250855
Industrial Technology,3811,Electronics & Robotics 1,R,10,2250871
Industrial Technology,3811,Electronics & Robotics 1,R,12,2230880
Industrial Technology,3811,Electronics & Robotics 1,R,10,2250898
Industrial Technology,3812,Electronics & Robotics 1,R,12,2230031
Industrial Technology,3812,Electronics & Robotics 1,R,10,2250027
Industrial Technology,3812,Electronics & Robotics 1,R,10,2250056
Industrial Technology,3812,Electronics & Robotics 1,R,10,2250119
Industrial Technology,3812,Electronics & Robotics 1,R,10,2250136
Industrial Technology,3812,Electronics & Robotics 1,R,11,2240172
Industrial Technology,3812,Electronics & Robotics 1,R,10,2250183
Industrial Technology,3812,Electronics & Robotics 1,R,10,2250189
Industrial Technology,3812,Electronics & Robotics 1,E,10,4250206
Industrial Technology,3812,Electronics & Robotics 1,R,12,2230227
Industrial Technology,3812,Electronics & Robotics 1,R,10,2250255
Industrial Technology,3812,Electronics & Robotics 1,R,11,2241087
Industrial Technology,3812,Electronics & Robotics 1,R,10,2250263
Industrial Technology,3812,Electronics & Robotics 1,R,11,2240283
Industrial Technology,3812,Electronics & Robotics 1,R,11,4240136
Industrial Technology,3812,Electronics & Robotics 1,R,11,2240293
Industrial Technology,3812,Electronics & Robotics 1,R,11,2240321
Industrial Technology,3812,Electronics & Robotics 1,R,11,2240380
Industrial Technology,3812,Electronics & Robotics 1,R,10,4250436
Industrial Technology,3812,Electronics & Robotics 1,R,12,2230538
Industrial Technology,3812,Electronics & Robotics 1,R,12,2230546
Industrial Technology,3812,Electronics & Robotics 1,R,11,2240549
Industrial Technology,3812,Electronics & Robotics 1,R,11,2240561
Industrial Technology,3812,Electronics & Robotics 1,R,11,2240959
Industrial Technology,3812,Electronics & Robotics 1,R,12,2230917
Industrial Technology,3812,Electronics & Robotics 1,R,11,2240924
Industrial Technology,3812,Electronics & Robotics 1,R,10,2250594
Industrial Technology,3812,Electronics & Robotics 1,R,12,2231024
Industrial Technology,3812,Electronics & Robotics 1,R,10,2250644
Industrial Technology,3812,Electronics & Robotics 1,R,11,2240684
Industrial Technology,3812,Electronics & Robotics 1,R,11,2240686
Industrial Technology,3812,Electronics & Robotics 1,R,12,2230688
Industrial Technology,3812,Electronics & Robotics 1,R,10,2250704
Industrial Technology,3812,Electronics & Robotics 1,R,10,2250746
Industrial Technology,3812,Electronics & Robotics 1,R,11,2240768
Industrial Technology,3812,Electronics & Robotics 1,R,11,2240789
Industrial Technology,3812,Electronics & Robotics 1,R,10,2250855
Industrial Technology,3812,Electronics & Robotics 1,R,12,2230880
Industrial Technology,3812,Electronics & Robotics 1,R,10,2250898
Industrial Technology,3841,Electronics & Robotics 2,R,12,2230045
Industrial Technology,3841,Electronics & Robotics 2,R,12,4230068
Industrial Technology,3841,Electronics & Robotics 2,R,11,2240201
Industrial Technology,3841,Electronics & Robotics 2,R,11,2240210
Industrial Technology,3841,Electronics & Robotics 2,R,10,2250219
Industrial Technology,3841,Electronics & Robotics 2,R,12,2230007
Industrial Technology,3841,Electronics & Robotics 2,R,10,2250249
Industrial Technology,3841,Electronics & Robotics 2,R,10,2250265
Industrial Technology,3841,Electronics & Robotics 2,R,11,2240276
Industrial Technology,3841,Electronics & Robotics 2,R,10,2250343
Industrial Technology,3841,Electronics & Robotics 2,R,12,2230008
Industrial Technology,3841,Electronics & Robotics 2,R,10,2250429
Industrial Technology,3841,Electronics & Robotics 2,R,12,2230445
Industrial Technology,3841,Electronics & Robotics 2,R,12,2230493
Industrial Technology,3841,Electronics & Robotics 2,R,11,2241006
Industrial Technology,3841,Electronics & Robotics 2,R,12,2230593
Industrial Technology,3841,Electronics & Robotics 2,R,12,2230634
Industrial Technology,3841,Electronics & Robotics 2,R,10,2250929
Industrial Technology,3841,Electronics & Robotics 2,R,10,2250944
Industrial Technology,3841,Electronics & Robotics 2,R,10,2250813
Industrial Technology,3841,Electronics & Robotics 2,R,12,2230808
Industrial Technology,3841,Electronics & Robotics 2,R,12,2230835
Industrial Technology,3842,Electronics & Robotics 2,R,12,2230045
Industrial Technology,3842,Electronics & Robotics 2,R,12,4230068
Industrial Technology,3842,Electronics & Robotics 2,R,11,2240201
Industrial Technology,3842,Electronics & Robotics 2,R,11,2240210
Industrial Technology,3842,Electronics & Robotics 2,R,10,2250219
Industrial Technology,3842,Electronics & Robotics 2,R,12,2230007
Industrial Technology,3842,Electronics & Robotics 2,R,10,2250249
Industrial Technology,3842,Electronics & Robotics 2,R,10,2250265
Industrial Technology,3842,Electronics & Robotics 2,R,11,2240276
Industrial Technology,3842,Electronics & Robotics 2,R,10,2250343
Industrial Technology,3842,Electronics & Robotics 2,R,12,2230008
Industrial Technology,3842,Electronics & Robotics 2,R,10,2250429
Industrial Technology,3842,Electronics & Robotics 2,R,12,2230445
Industrial Technology,3842,Electronics & Robotics 2,R,12,2230493
Industrial Technology,3842,Electronics & Robotics 2,R,11,2241006
Industrial Technology,3842,Electronics & Robotics 2,R,12,2230593
Industrial Technology,3842,Electronics & Robotics 2,R,12,2230634
Industrial Technology,3842,Electronics & Robotics 2,R,10,2250929
Industrial Technology,3842,Electronics & Robotics 2,R,10,2250944
Industrial Technology,3842,Electronics & Robotics 2,R,10,2250813
Industrial Technology,3842,Electronics & Robotics 2,R,12,2230808
Industrial Technology,3842,Electronics & Robotics 2,R,12,2230835
Industrial Technology,3871,PLTW Prin of Engineering,R,12,2230002
Industrial Technology,3871,PLTW Prin of Engineering,R,11,2240307
Industrial Technology,3871,PLTW Prin of Engineering,R,10,2250004
Industrial Technology,3872,PLTW Prin of Engineering,R,12,2230002
Industrial Technology,3872,PLTW Prin of Engineering,R,11,2240307
Industrial Technology,3901,PLTW Engineering Design & Dev.,R,12,2230452
Industrial Technology,3902,PLTW Engineering Design & Dev.,R,12,2230452
Math,0849D1,Algebra 1,R,9,2260005
Math,0849D2,Algebra 1,R,9,2260005
Math,0849D1,Algebra 1,R,9,2260849
Math,0849D2,Algebra 1,R,9,2260849
Math,0849F1,Algebra 1,R,9,2260800
Math,0849F2,Algebra 1,R,9,2260800
Math,0873D1,Geometry (2 hr),R,10,2250005
Math,0873D2,Geometry (2 hr),R,10,2250005
Math,0849D1,Algebra 1,R,9,2260850
Math,0849D2,Algebra 1,R,9,2260850
Math,0849F2,Algebra 1,E,10,2250006
Math,0873D1,Geometry (2 hr),R,10,2250007
Math,0873D2,Geometry (2 hr),R,10,2250007
Math,0849D1,Algebra 1,R,9,2260007
Math,0849D2,Algebra 1,R,9,2260007
Math,0849D1,Algebra 1,R,9,2260008
Math,0849D2,Algebra 1,R,9,2260008
Math,0849F1,Algebra 1,R,9,2260009
Math,0849F2,Algebra 1,R,9,2260009
Math,0849D1,Algebra 1,E,9,2260010
Math,0879F1,Geometry Hon,R,9,2260011
Math,0879F2,Geometry Hon,R,9,2260011
Math,0849F1,Algebra 1,R,9,2260012
Math,0849F2,Algebra 1,R,9,2260012
Math,0849F1,Algebra 1,R,9,2260013
Math,0849F2,Algebra 1,R,9,2260013
Math,0849D1,Algebra 1,R,9,2260015
Math,0849D2,Algebra 1,R,9,2260015
Math,0849F1,Algebra 1,R,9,2260016
Math,0849F2,Algebra 1,R,9,2260016
Math,0849D1,Algebra 1,R,9,2260017
Math,0849D2,Algebra 1,R,9,2260017
Math,0849F1,Algebra 1,R,9,2260018
Math,0849F2,Algebra 1,R,9,2260018
Math,0849F1,Algebra 1,R,9,2260019
Math,0849F2,Algebra 1,R,9,2260019
Math,0849D1,Algebra 1,R,9,4260863
Math,0849D2,Algebra 1,R,9,4260863
Math,0861D1,Adv Algebra (2 hr),R,11,2240027
Math,0861D2,Adv Algebra (2 hr),R,11,2240027
Math,0873D1,Geometry (2 hr),R,10,2250016
Math,0873D2,Geometry (2 hr),R,10,2250016
Math,0849D2,Algebra 1,E,9,2260020
Math,0849F1,Algebra 1,R,9,2260020
Math,0849F2,Algebra 1,R,9,2260020
Math,0849D1,Algebra 1,R,9,2260021
Math,0849D2,Algebra 1,R,9,2260021
Math,0873D1,Geometry (2 hr),R,10,2250087
Math,0873D2,Geometry (2 hr),R,10,2250087
Math,0849F1,Algebra 1,R,9,2260022
Math,0849F2,Algebra 1,R,9,2260022
Math,0849F1,Algebra 1,R,9,2260023
Math,0849F2,Algebra 1,R,9,2260023
Math,0849F1,Algebra 1,R,9,2260024
Math,0849F2,Algebra 1,R,9,2260024
Math,0849D1,Algebra 1,E,9,2260025
Math,0849D2,Algebra 1,E,9,2260025
